# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.1.0 Build 162 10/23/2013 SJ Web Edition
# File: C:\Users\user\Desktop\SD_CARD\sd_card.csv
# Generated on: Mon Aug 17 21:59:23 2015

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair
CLOCK_50,Input,PIN_Y2,2,B2_N0,PIN_Y2,3.3-V LVTTL,,,,
KEY[3],Input,PIN_R24,5,B5_N0,PIN_R24,3.3-V LVTTL,,,,
KEY[2],Input,PIN_N21,6,B6_N2,PIN_AH14,3.3-V LVTTL,,,,
LEDR[15],Output,PIN_G15,7,B7_N2,PIN_G15,3.3-V LVTTL,,,,
LEDR[14],Output,PIN_F15,7,B7_N2,PIN_F15,3.3-V LVTTL,,,,
LEDR[13],Output,PIN_H17,7,B7_N2,PIN_H17,3.3-V LVTTL,,,,
LEDR[12],Output,PIN_J16,7,B7_N2,PIN_J16,3.3-V LVTTL,,,,
LEDR[11],Output,PIN_H16,7,B7_N2,PIN_H16,3.3-V LVTTL,,,,
LEDR[10],Output,PIN_J15,7,B7_N2,PIN_J15,3.3-V LVTTL,,,,
LEDR[9],Output,PIN_G17,7,B7_N1,PIN_G17,3.3-V LVTTL,,,,
LEDR[8],Output,PIN_J17,7,B7_N2,PIN_J17,3.3-V LVTTL,,,,
LEDR[7],Output,PIN_H19,7,B7_N2,PIN_H19,3.3-V LVTTL,,,,
LEDR[6],Output,PIN_J19,7,B7_N2,PIN_J19,3.3-V LVTTL,,,,
